CityName,CityCode,测体温,健康码,健康告知书,健康问询,健康提醒,报告/报备,提前报备时间,进入前核酸检测,进入前核酸检测时间,进入后核酸检测,进入后核酸检测次数,进入后核酸检测时间,血清学检测(血清抗体),居家隔离,居家隔离时间,社区健康监测,社区健康监测时间,集中隔离,集中隔离时间,特殊措施,,,,,,,,,,,,,,,,,,,,,,
威海,371000,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
扬州,321000,1,1,0,0,0,1,1,1,7,1,2,7/14,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,
杭州,330100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
台州,331000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,230100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
曲靖,530300,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
榆林,610800,0,0,0,0,0,0,0,0,0,1,2,7,0,1,14,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
商丘,411400,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
赤峰,150400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
兴安,152200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
北京,NA,0,0,0,0,0,0,0,1,7,1,2,7/14,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
昆明,530100,0,0,0,0,0,0,0,1,7,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
楚雄,532300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
鄂尔多斯,150600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
绍兴,330600,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
伊春,230700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
鹤岗,230400,0,0,0,0,0,0,0,0,0,1,1,7,0,1,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
吉林,220200,1,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
长春,220100,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
河源,441600,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
西安,610100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
云浮,445300,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
玉溪,530400,0,0,0,0,0,0,0,1,7,1,1,7,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
东营,370500,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
德州,371400,0,0,0,0,0,1,7,1,7,0,0,0,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
神农架,429021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
武汉,420100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
惠州,441300,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
聊城,371500,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
岳阳,430600,1,1,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
海西,632800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
周口,411600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
天津,NA,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
延边,222400,1,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
菏泽,371700,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
丽江,530700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
白城,220800,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
松原,220700,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
七台河,230900,0,0,0,0,0,1,3,1,7,0,0,0,0,1,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
临沧,530900,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
新乡,410700,0,0,0,0,0,1,1,1,7,1,2,7/14,0,1,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
